doc_id,page_number,text
IR_ch1,1,introduction to information retrieval introducing information retrieval and web search
IR_ch1,2,information retrieval information retrieval ir is finding material usually documents of an unstructured nature usually text that satisfies an information need from within large collections usually stored on computers these days we frequently think first of web search but there are many other cases e mail search searching your laptop corporate knowledge bases legal information retrieval
IR_ch1,3,unstructured text vs structured database data in the mid nineties
IR_ch1,4,unstructured text vs structured database data today
IR_ch1,5,sec basic assumptions of information retrieval collection a set of documents assume it is a static collection for the moment goal retrieve documents with information that is relevant to the user s information need and helps the user complete a task
IR_ch1,6,the classic search model get rid of mice in a user task politically correct way misconception info about removing mice info need without killing them misformulation query searc how trap mice alive h search engine query results collection refinement
IR_ch1,7,sec how good are the retrieved docs precision fraction of retrieved docs that are relevant to the user s information need recall fraction of relevant docs in collection that are retrieved more precise definitions and measurements to follow later
IR_ch1,8,introduction to information retrieval term document incidence matrices
IR_ch1,9,sec unstructured data in which plays of shakespeare contain the words brutus and caesar but not calpurnia one could grep all of shakespeare s plays for brutus and caesar then strip out lines containing calpurnia why is that not the answer slow for large corpora not calpurnia is non trivial other operations e g find the word romans near countrymen not feasible ranked retrieval best documents to return later lectures
IR_ch1,10,sec term document incidence matrices antony and cleopatra julius caesar the tempest hamlet othello macbeth antony brutus caesar calpurnia cleopatra mercy worser if play contains brutus and caesar but not word otherwise calpurnia
IR_ch1,11,sec incidence vectors so we have a vector for each term to answer query take the vectors for brutus caesar and calpurnia complemented bitwise and and and antony and cleopatra julius caesar the tempest hamlet othello macbeth antony brutus caesar calpurnia cleopatra mercy worser
IR_ch1,12,sec answers to query antony and cleopatra act iii scene ii agrippa aside to domitius enobarbus why enobarbus when antony found julius caesar dead he cried almost to roaring and he wept when at philippi he found brutus slain hamlet act iii scene ii lord polonius i did enact julius caesar i was killed i the capitol brutus killed me
IR_ch1,13,sec bigger collections consider n million documents each with about words avg bytes word including spaces punctuation gb of data in the documents say there are m k distinct terms among these
IR_ch1,14,sec can t build the matrix k x m matrix has half a trillion s and s but it has no more than one billion s why matrix is extremely sparse what s a better representation we only record the positions
IR_ch1,15,introduction to information retrieval the inverted index the key data structure underlying modern ir
IR_ch1,16,sec inverted index for each term t we must store a list of all documents that contain t identify each doc by a docid a document serial number can we used fixed size arrays for this brutus caesar calpurnia what happens if the word caesar is added to document
IR_ch1,17,sec inverted index we need variable size postings lists on disk a continuous run of postings is normal and best posting in memory can use linked lists or variable length arrays brutus some tradeoffs in size ease of insertion caesar calpurnia postings dictionary sorted by docid more later on why
IR_ch1,18,sec inverted index construction documents to friends romans countrymen be indexed tokenizer token stream friends romans countrymen linguistic modules friend roman countryman modified tokens indexer friend roman inverted index countryman
IR_ch1,19,initial stages of text processing tokenization cut character sequence into word tokens deal with john s a state of the art solution normalization map text and query term to same form you want u s a and usa to match stemming we may wish different forms of a root to match authorize authorization stop words we may omit very common words or not the a to of
IR_ch1,20,sec indexer steps token sequence sequence of modified token document id pairs doc doc i did enact julius so let it be with caesar i was killed caesar the noble i the capitol brutus hath told you brutus killed me caesar was ambitious
IR_ch1,21,sec indexer steps sort sort by terms and then docid core indexing step
IR_ch1,22,sec indexer steps dictionary postings multiple term entries in a single document are merged split into dictionary and postings doc frequency information is added why frequency will discuss later
IR_ch1,23,sec where do we pay in storage lists of docids terms and counts ir system implementation how do we index efficiently how much storage do we need pointers
IR_ch1,24,introduction to information retrieval query processing with an inverted index
IR_ch1,25,sec the index we just built how do we process a query our focus later what kinds of queries can we process
IR_ch1,26,sec query processing and consider processing the query brutus and caesar locate brutus in the dictionary retrieve its postings locate caesar in the dictionary retrieve its postings merge the two postings intersect the document sets brutus caesar
IR_ch1,27,sec the merge walk through the two postings simultaneously in time linear in the total number of postings entries brutus caesar if the list lengths are x and y the merge takes o x y operations crucial postings sorted by docid
IR_ch1,28,intersecting two postings lists a merge algorithm
IR_ch1,29,introduction to information retrieval the boolean retrieval model extended boolean models
IR_ch1,30,sec boolean queries exact match the boolean retrieval model is being able to ask a query that is a boolean expression boolean queries are queries using and or and not to join query terms views each document as a set of words is precise document matches condition or not perhaps the simplest model to build an ir system on primary commercial retrieval tool for decades many search systems you still use are boolean email library catalog mac os x spotlight
IR_ch1,31,sec example westlaw http www westlaw com largest commercial paying subscribers legal search service started ranking added new federated search added tens of terabytes of data users majority of users still use boolean queries example query what is the statute of limitations in cases involving the federal tort claims act limit statute action s federal tort claim within words s in same sentence
IR_ch1,32,sec example westlaw http www westlaw com another example query requirements for disabled people to be able to access a workplace disabl p access s work site work place employment place note that space is disjunction not conjunction long precise queries proximity operators incrementally developed not like web search many professional searchers still like boolean search you know exactly what you are getting but that doesn t mean it actually works better
IR_ch1,33,sec boolean queries more general merges exercise adapt the merge for the queries brutus and not caesar brutus or not caesar can we still run through the merge in time o x y what can we achieve
